sequence,rx_monotonic_ns,receive_interval_ms,latency_ms,operator_powered,operator_enabled,operator_dragging,tracking_powered,mapper_armed,operator_j1,operator_j2,operator_j3,operator_j4,operator_j5,operator_j6,tracking_j1,tracking_j2,tracking_j3,tracking_j4,tracking_j5,tracking_j6,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6
1265,22654341620889,7.996097,0.021430,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1266,22654349544405,7.923516,0.017224,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1267,22654357594179,8.049774,0.018963,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1268,22654365592108,7.997929,0.018020,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1269,22654373576281,7.984173,0.017761,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1270,22654381638140,8.061859,0.016883,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1271,22654389699141,8.061001,0.018334,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1272,22654397772926,8.073785,0.033259,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1273,22654405881648,8.108722,0.026314,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
1274,22654413831315,7.949667,0.030431,1,1,1,1,1,1.891139,0.069297,-1.429856,-0.234182,-1.716586,0.407035,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007,0.000026,2.101491,-2.094901,0.000022,-1.574993,-0.000007
